lyrics,coder1,coder2,coder3,coder4,coder5,coder6
Let the suicide doors up,0,1,0,5,1,1
I threw suicides on the tour bus,0,2,1,6,1,1
I threw suicides on the private jet,0,2,1,5,0,0
"You know what that mean, I'm fly to death",3,3,5,8,4,2
I step in Def Jam buildin' like I'm the shit,6,5,4,2,6,7
Tell 'em give me fifty million or I'ma quit,9,9,10,5,8,7
Most rappers' taste level ain't at my waist level,10,10,9,4,9,9
Turn up the bass 'til it's up-in-yo-face level,7,5,8,5,6,7
Don't do no press but I get the most press kit,5,7,6,10,6,5
"Plus, yo, my bitch make your bitch look like Precious",10,10,9,3,9,10
"Somethin' 'bout Mary, she gone off that molly",7,6,7,5,8,8
Now the whole party is melted like Dalí,9,7,9,2,8,9
Now everybody is movin' they body,7,9,10,5,9,10
"Don't sell me apartment, I'll move in the lobby",4,5,2,10,3,3
Niggas is loiterin' just to feel important,6,6,5,4,7,5
You gon' see lawyers and niggas in Jordans,3,2,3,7,3,2
"She said, ""'Ye, can we get married at the mall?""",10,10,9,5,9,10
"I said, ""Look, you need to crawl 'fore you ball",5,7,7,1,6,5
Come and meet me in the bathroom stall,7,8,8,4,8,9
"And show me why you deserve to have it all.""",7,7,8,5,7,7
"(Ball so hard) That shit cray, ain’t it Jay?",6,8,7,1,5,7
"What she order, fish filet?",5,4,5,9,5,3
Your whip so cold – this old thing?,3,5,6,5,4,2
Act like you’ll ever be around mothafuckas like this again,4,6,6,8,4,5
"Bougie girl, grab my hand",9,8,9,5,8,8
Fuck that bitch; she don’t wanna dance,3,2,2,5,1,2
"Excuse my French, but I’m in France, I’m just sayin'",6,5,6,2,5,5
Prince Williams ain’t do it right if you ask me,3,5,4,7,3,2
‘Cause I was him I would have married Kate and Ashley,7,7,6,1,8,6
"What’s Gucci, my nigga? What’s Louis, my killa?",6,5,7,7,7,8
"What’s drugs, my dealer? What’s that jacket, Margiela?",6,5,7,9,7,8
Doctors say I’m the illest,0,1,1,4,0,1
‘Cause I’m suffering from realness,6,4,3,9,5,3
"Got my niggas in Paris and they going gorillas, huh",7,8,6,7,8,8
"Break records at Louis, ate breakfast at Gucci",8,8,9,5,8,7
My girl a superstar all from a home movie,9,8,9,5,10,9
Bow on our arrival - the un-American idols,8,6,7,2,8,8
"What niggas did in Paris, got 'em hanging off the Eiffel",6,5,5,8,5,6
"Yeah I'm talking business, we talking CIA",3,5,4,9,5,5
"I'm talking George Tenet, I seen him the other day",6,7,7,2,6,5
"He asked me about my Maybach, think he had the same",7,7,6,10,5,7
Except mine tinted and his might have been rented,6,6,7,10,6,5
"You know white people get money, don't spend it",6,5,3,8,5,4
"Or maybe they get money, buy a business",7,7,7,1,5,8
I rather buy 80 gold chains and go ign'ant,8,5,7,5,7,8
"I know Spike Lee gon' kill me, but let me finish",3,1,1,5,2,1
"Blame it on the pigment, we living no limits",8,6,5,1,7,6
Them gold Master P ceilings was just a figment,7,5,6,1,7,7
"Of our imagination, MTV cribs",8,8,9,5,7,8
Now I'm looking at a crib right next to where TC lives,7,8,8,5,7,8
"That's Tom Cruise, whatever she accuse",9,6,8,2,7,8
He wasn't really drunk he just had a frew brews,5,6,5,9,6,5
"Pass the refreshments, a cool, cool beverage",8,9,8,3,9,10
Everything I do need a news crew's presence,7,8,5,4,7,7
"Speedboat swerve, homie watch out for the waves",6,5,3,10,5,4
I'm way too black to burn from sun rays,1,0,2,6,2,1
So I just meditate at the home in Pompeii,7,6,5,9,7,7
About how I could build a new Rome in one day,10,9,9,6,9,9
Everytime I'm in Vegas they screaming like he's Elvis,9,10,8,6,9,10
But I just wanna design hotels and nail it,7,8,7,1,8,8
"Shit is real, got me feeling Israelian",2,3,3,7,2,1
"Like Bar Refaeli, or Gisele - no, that's Brazilian",4,5,3,8,5,5
"Went through, deep depression when my momma passed",0,0,0,4,0,0
"Suicide, what kinda talk is that?",0,0,0,5,0,0
But I been talking to God for so long,8,9,10,6,9,10
That if you look at my life I guess he's talking back,8,7,8,5,8,8
Fucking with my clique,0,2,2,8,1,1
